"","time","long","lat","id","xdata","ydata","utm.zone"
"1.1861",19801920,-115.589166462584,31.0209995049224,269,634663.625000012,3432783.74999992,"11N"
"1.1862",19801980,-115.58916660664,31.0205010462915,269,634664.312500013,3432728.49999992,"11N"
"1.1863",19802040,-115.610333620231,30.940333426904,269,632754.687500011,3423817.24999993,"11N"
"1.1864",19803540,-115.579666401352,31.0451663973549,269,635536.250000013,3435473.99999992,"11N"
"1.1865",19803600,-115.571166450317,31.0241666483594,269,636377.375000013,3433156.74999992,"11N"
"1.1866",19803660,-115.471166951968,31.0376674652529,269,645902.437500018,3434780.2499999,"11N"
"1.1867",19803720,-115.471166951968,31.0376674652529,269,645902.437500018,3434780.2499999,"11N"
"1.1868",19803780,-115.470999965772,31.037667741887,269,645918.375000019,3434780.4999999,"11N"
"1.1869",19803840,-115.471166951968,31.0376674652529,269,645902.437500018,3434780.2499999,"11N"
"1.1870",19803900,-115.471166903965,31.0378343653377,269,645902.187500019,3434798.7499999,"11N"
"1.1871",19803960,-115.471500269679,31.0376669035799,269,645870.625000018,3434779.7499999,"11N"
"1.1872",19804020,-115.471500269679,31.0376669035799,269,645870.625000018,3434779.7499999,"11N"
"1.1873",19804080,-115.471166951968,31.0376674652529,269,645902.437500018,3434780.2499999,"11N"
"1.1874",19804140,-115.471666459761,31.0381673188712,269,645854.00000002,3434834.9999999,"11N"
"1.1875",19804680,-115.471666459761,31.0381673188712,269,645854.00000002,3434834.9999999,"11N"
"1.1876",19804740,-115.470500254356,31.0380001311164,269,645965.562500018,3434817.9999999,"11N"
"1.1877",19804800,-115.470499747151,31.0374994232162,269,645966.375000016,3434762.4999999,"11N"
"1.1878",19806300,-115.588833225055,31.0631663635226,269,634636.062500012,3437457.99999992,"11N"
"1.1879",19806600,-115.564333534711,31.0408331040842,269,637005.750000012,3435012.49999992,"11N"
"1.1880",19806660,-115.471166951968,31.0376674652529,269,645902.437500018,3434780.2499999,"11N"
"1.1881",19806720,-115.480666787145,31.0404997166931,269,644991.437500017,3435081.74999991,"11N"
"1.1882",19806780,-115.551333007153,31.0428327194137,269,638243.625000013,3435250.24999992,"11N"
"1.1883",19807740,-115.577666979664,31.0615009655186,269,635703.875000014,3437286.99999992,"11N"
"1.1884",19809240,-115.569333122986,31.0595006735288,269,636501.937500012,3437075.49999992,"11N"
"1.1885",19809300,-115.472166993569,31.0398332319429,269,645803.687500018,3435018.9999999,"11N"
"1.1886",19809360,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1887",19809420,-115.47099995352,31.0378323869751,269,645918.125000017,3434798.7499999,"11N"
"1.1888",19809480,-115.471166951968,31.0376674652529,269,645902.437500018,3434780.2499999,"11N"
"1.1889",19809540,-115.471166903965,31.0378343653377,269,645902.187500019,3434798.7499999,"11N"
"1.1890",19809600,-115.470999965772,31.037667741887,269,645918.375000019,3434780.4999999,"11N"
"1.1891",19809660,-115.471500115945,31.0383322489837,269,645869.625000019,3434853.4999999,"11N"
